;total_general;;;;BE _belgium;;;;BR_brazil;;;;CN_china;;;;;DE_germany;;;;ES_spain;;;;FR_france;;;;GB_great britain;;;;IN_india;;;;IT_italy;;;;NL_netherland;;;;RU_russia;;;;US_united states;;;;XX_others;;
;11;11;11;11;BE;BE;BE;BE;BR;BR;BR;BR;CN;CN;CN;CN;DE;DE;DE;DE;ES;ES;ES;ES;FR;FR;FR;FR;GB;GB;GB;GB;IN;IN;IN;IN;IT;IT;IT;IT;NL;NL;NL;NL;RU;RU;RU;RU;US;US;US;US;XX;XX;XX;XX
date;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason
2017-01;223696;96406;95439;31851;52822;20439;24027;8356;2407;1674;545;188;4125;2586;1169;370;15170;5775;7351;2043;13436;8223;3705;1508;28922;13127;10693;5101;16627;6711;7722;2194;676;299;292;85;9474;4404;3723;1346;11312;4675;5264;1373;2756;1607;884;265;10062;3255;5025;1782;55907;23631;25039;7240
2017-02;248063;108192;103494;36377;56681;22846;23267;10568;2073;1531;415;126;4549;2743;1473;332;17402;6382;8843;2178;13997;8730;3776;1491;36748;18677;12512;5559;18164;7402;8491;2271;925;455;370;100;9417;4108;4006;1302;11876;5076;5293;1507;2380;1329;809;243;10181;3628;5335;1218;63670;25285;28904;9482
2017-03;292483;120293;127471;44720;62623;24594;27349;10679;2363;1639;547;177;5675;3389;1578;708;21142;7840;10301;3000;16332;9428;5005;1898;37516;17204;13523;6788;21249;8262;10246;2740;1363;676;516;171;12669;5688;5421;1561;14743;6057;6338;2348;2486;1282;930;274;14261;5097;7481;1684;80061;29137;38236;12692
2017-04;301031;140731;118210;42091;61637;24365;26093;11179;3556;2458;792;307;8983;5228;2682;1073;21087;9763;8955;2369;17804;11139;4724;1941;42086;22254;13476;6356;20402;9512;8562;2328;1990;1064;730;195;10775;5565;3867;1343;13563;6881;5093;1589;3491;1842;1244;405;16235;6305;8241;1689;79422;34355;33751;11317
2017-05;313624;133687;133626;46311;68791;25229;32051;11511;3742;2596;883;263;9464;5996;2050;1419;21528;8142;10553;2832;15709;9481;4519;1710;39006;18866;13484;6656;19812;7710;9640;2462;3232;1602;1356;274;10607;4943;4245;1419;14444;6277;6214;1954;3432;1924;1172;335;18664;7308;9285;2071;85193;33613;38174;13405
2017-06;306754;133427;128187;45140;62632;21275;30132;11225;3732;2647;835;250;9239;5777;1916;1547;23365;9643;10970;2753;17507;10695;4818;1994;33165;15080;12485;5599;21945;9372;9885;2688;2668;1414;939;315;10729;4576;4435;1718;14202;6330;5782;2090;2860;1656;883;321;20917;9043;9670;2204;83793;35919;35437;12436
2017-07;304242;154902;103370;45971;63220;28508;22814;11899;5101;3608;1141;352;10047;6944;2132;971;20964;10229;8208;2527;18577;11793;3759;3025;29944;15716;9029;5198;21628;11230;8032;2366;3031;1732;1024;275;7016;3409;2490;1117;11584;5789;3703;2092;2570;1403;830;337;20879;9417;9048;2413;89681;45124;31160;13399
2017-08;275536;151691;86676;37169;55619;25367;21924;8329;3529;2666;596;267;8181;5668;1857;655;17939;10475;5490;1974;22131;15297;3770;3063;33628;19273;9576;4779;20777;11701;6905;2172;1920;1161;620;139;8826;5377;2363;1086;12609;6551;4243;1815;3057;1725;1030;303;17925;7958;8132;1835;69395;38472;20170;10752
2017-09;309493;132114;128435;48944;68597;25787;30811;12000;3760;2389;1061;310;7986;4750;2136;1100;23510;10036;10564;2910;18770;10846;4819;3106;31928;15211;10798;5919;22145;8679;10502;2965;2444;1416;775;252;9557;3713;4228;1616;14639;6045;6089;2505;3099;1665;1114;320;17967;7073;9123;1771;85091;34504;36415;14170
2017-10;337750;148253;138675;50822;75856;28840;33628;13388;3733;2642;736;355;7245;3994;2006;1246;26285;11485;11221;3579;19718;11504;5034;3179;43006;21797;14116;7092;20724;8345;9508;2871;1920;1147;591;182;11198;4772;4586;1840;16588;6774;6962;2851;3262;1771;1113;379;17179;6371;9019;1788;91036;38811;40155;12072
2017-11;319921;127961;137581;54378;76490;27174;33935;15381;2562;1785;544;233;5517;2786;1678;1053;22732;8033;11175;3524;17239;8989;5172;3079;40181;18601;13831;7749;22170;8463;10438;3268;1333;739;412;182;11999;4924;5092;1983;16210;6864;6407;2940;2879;1397;1051;431;14603;5089;7505;2009;86006;33117;40341;12546
